ID	Type	Title	Games	Authors	Date	Tags	Description	Update	Embed	URL										
p5-tartarus-music	Mod	Mementos Tziah Block Mod	P5	Blue_SodaPop	7/23/2019	BGM	Replaces the standard Mementos Theme with the Tartarus theme from Persona 3.	 	 	https://drive.google.com/drive/folders/1UEf0pGz_yEDCRks8TZrfd9k0Fwfix2H1										
p3n-naoto	Mod	P3N: Naoto Mod	P3FES	milkwood	7/25/2019	"Player, Player, Voice, UI"	"Play as a different blue haired, gun wielding orphan in Persona 3. This mod replaces all of the MC's field/NPC models and the one-handed sword battle models, as well as most menu images."	 	https://i.imgur.com/HjpALeb.jpg	https://drive.google.com/open?id=1BkAzcCaPuSXzQ6ciICKOkTqrmMpUiVwA										
p5-music-edits	Mod	P5 Final Boss Music Edits	P5	Cakes73	7/29/2019	BGM	"Replaces the final battle themes in P5 with ""The Battle for Everyone's Souls"" and ""Hymn of the Soul"". Also replaces the boss theme during the traitor fight with ""Ying-Yang,"" and ""Fate is in Our Hands"" in battles where Rivers in the Desert would play."	 	 	https://drive.google.com/file/d/1ce3lppiTF3Csah51MKSDpDYhJyGU1sCx/view										
p5-takeover	Mod	Take Over Battle Theme	P5	pazzoeo	8/3/2019	BGM	Replaces Last Surprise with Take Over from Persona 5 Royal.	 	 	https://mega.nz/#!m5Z12aIS!3jcgdsjMf6wDJlLmaOxBNqIvUv3wmY64mOohXz6I2ME										
p5-deathwish	Mod	Deathwish	P5	Pengdoo	10/8/2019	"Difficulty, Table, AI, Script"	"This mod increases the stats of most enemies and changes the AI of bosses past the 5th Palace. Regular enemies and Mementos bosses will have their attributes (St, Ma, En, Lu, Ag) increased and their HP multiplied. Moreover, Mementos missions and Palace bosses will yield much more EXP and yen than usual. If you consider using it, I recommend you play on Merciless difficulty: the x3 multipliers on Critical and Technical hits shorten the fight with high HP enemies."	 	https://www.youtube.com/watch?v=Q3GCkEn1qns	https://www.dropbox.com/s/92u0bt1n3kj696g/P5%20Deathwish.zip?dl=0										
p5d-lastsurprise	Mod	Last Surprise Swimwear	P5D	Coffee-Kun	10/8/2019	"Player, Party"	"This swaps Ann's, Makoto's and Futaba's normal swim wear models to that of the ones used in the Last Surprise video. It's a simple model swap, but it's nice to be able to use these outfits in-game."	 	https://i.ibb.co/JqF5ypf/swim-wear-alt.png	https://drive.google.com/file/d/1Nx7-c8VlNRCASZrrOSZ4YxKLD6kt35UL/view										
p5-megalovania	Mod	Megalovania BGM	P5	Fish	10/8/2019	BGM	This mod replaces all BGM with Megalovania or Megalovania remixes	 	 	https://drive.google.com/drive/folders/1WFX8d8OTcbf7WlJDiUCfy_4LdayQoM3T										
p5-dantevergil	Mod	Dante and Vergil Joker Recolors	P5	CrazyGM	10/8/2019	Player	Remember Joker's meme using the Dante and Vergil from Devil May Cry series scheme colors because of their alternate colors in Smash Ultimate? This is a mod based on that.	 	https://www.youtube.com/watch?v=n4B5m7M_HeU	https://www.mediafire.com/file/cniluucjnfmfa06/Dante%B4s_colors_for_Joker_Phantom_Thief_outifit.rar/file										
p5-orpheustelos	Mod	Orpheus Telos Mod	P5	CrazyGM	10/13/2019	"Persona, Moveset"	Replaces Orpheus Picaro with Orpheus Telos.	 	https://www.youtube.com/watch?v=8WFzhwGPmCA	https://www.mediafire.com/file/t6fm7zi23bhncz4/Orpheus_Telos.rar/file										
p5-battleportraits	Mod	All-in-One Battle Portraits	P5	IevanDumal	10/14/2019	"PLG, UI, UI, Template"	"Replaces the black background of the battle UI with a sprite instead of a PLG, neatly rearranged for easy editing of party member icons.<br><br>The included PLG has the original vectors dummied out, shout out to Yangster for discovering the trick"	 	https://cdn.discordapp.com/attachments/143149937247387649/608030593929838593/unknown.png	https://drive.google.com/open?id=1S9lnqSZVBWV9-tedfQ-nPQf_sfdFUjT5										
p5-darkechiplg	Mod	Darkechi PLG Icons	P5	"lipsum, IevanDumal"	10/14/2019	"PLG, UI, UI"	"A version of the ""Darkechi Replacer"" mod that uses lipsum's io_plg to render the P5R Akechi battle icons as vectors.<br><br>Benefits: Scales to any resolution without artifacting and changes color with status effects. Use the included patch.yml for alignment fixes."	 	https://cdn.discordapp.com/attachments/143149937247387649/632827927314038804/gimp-2.10_fH2uQuDmdj.png	https://drive.google.com/open?id=15XDdjpzMzYxRZEQ-yz6PLJL8GS8kp_Hj										
p5d-noglasses	Mod	No Glasses for Ren (Hair Swap)	P5D	Coffee-Kun	10/16/2019	Player	"Replaces the Unmasked Thief hair model with the default hair model, since he doesn't wear glasses with this model."	 	https://i.ibb.co/wSpWHPq/2019-10-16-162104.png	https://drive.google.com/file/d/1S16n2yNOY0SMuFJxOWFFNb-WVwc7crUo/view										
p5-redanngloves	Mod	Ann Red Gloves	P5	Zelkin	10/18/2019	Party	Here is a simple mod which changes the color of Ann's gloves from ugly pink to nice dark red.	 	 	https://drive.google.com/file/d/1PDIB1d-lpJB-CJXJPlJ6uDfttClGzMkF/view										
p5-darkechi	Mod	Darkechi Replacer	P5	"ciolnirrep, lonelyCrow"	11/3/2019	"Party, Voice, Bustup, Scripts, Text"	"Replaces Akechi's in-battle animations with his boss animations, tints his sword red, gives him new voice lines, changes several Mementos bustups, adds new dialog when adding him to the team and works with every costume. Designed to work with the Alternate Costumes Mod by ShrineFox."	"<b>Update 11/3/2019:</b><br>-Multiple improvements by the author, see included readme.txt"	 	https://www.mediafire.com/file/wo77qrwa6tfjhts/Darkechi_V2fix.rar/file										
p5bgmoverhaul	Mod	Persona 5 Music Overhaul	P5	shibe	11/5/2019	BGM	"This mod aims to spice up the soundtrack of Persona 5 for a more definitive experience, similar to the Full Moonlight Edition mod for Persona 3 FES. It currently includes songs from Persona 5 Royal, Persona 5: Dancing in Starlight, Persona Q2: New Cinema Labyrinth, and Persona 5 the Animation. <a href=""https://shrinefox.com/forum/viewtopic.php?f=15&t=45"">Song List</a>"	 	 	https://mega.nz/#!hqJ3AYJS!dbCM3jYPZEZTPyUPxfPF7JwsfkhbCiVNE_MWhzaZUHE										
usableloki	Mod	Usable Loki	P5	Fish	11/18/2019	"Persona, Table"	This mod gives Loki a complete Skill tree! <br>This is an early version of the mod so you can currently only access Loki by using the Amicitia mod menu (Add Persona/L/Loki 219). Loki's weaknesses and resistances are now completely original	 	 	https://drive.google.com/drive/folders/1XUY0lttDxPfE_HlPo39NfcGr-5_s0XQ1										
p5-nonavilines	Mod	No Annoying Navigator	P5	Zelkin	12/1/2019	"ACB, Navi, Voice"	This mod silences the most repetitive voice lines from Makoto and Morgana during fights. Works only for japanese voices.	<b>Update 12/1/2019:</b> Added Futaba version	 	https://drive.google.com/file/d/16qTk0Nve5RSA3PTp-u-q1erDREmsd59E/view										
ps2opening	Mod	PS2 P4 Opening	P4G	teakhanirons	12/21/2019	FMV	"The PS2 opening movie exists in the game files under the name ""P4CTOP1.MP4"" and you can just decrypt that and use rePatch to direct to it when the game calls for the actual file. Of course, this will have the side effect of the P4G opening movie playing in the TV guide thingy."	 	https://www.youtube.com/watch?v=VmSGiNCv3sA	https://mega.nz/#!XzYh1aAL!l0lYw0Ceg3KgWLM4csfmnnDfAEMOK6T2X7zLlmX_DNw										
chiep4gvoice	Mod	P4 with P4G Chie Voices	P4	"ShrineFox, Qlonever"	1/10/2020	Voice	A mod that replaces all of Chie's voices with her newly re-voiced P4G clips.	"<b>Update 2.0</b>: Qlonever kindly fixed several errors with the original mod!<br><b>NOTE:</b> When building a new ISO with the Mod Compendium, manually delete ZZZZZ.BIN before replacing the DATA.CVM and SLUS_217.82 to ensure that the ISO saves properly."	https://www.youtube.com/watch?v=jqNGDkzK3cI	https://drive.google.com/file/d/1EuhQfajab_ZmoxXXb11m1ck0QVkNGA9z/view										
tbp5mm	Mod	The Big Persona 5 Music Mod	P5	solarj	1/10/2020	BGM	"Featuring songs from: Persona 5 Royal, Persona 5 Scramble, Catherine, Smash Ultimate, and more. <a href=""https://shrinefox.com/forum/viewtopic.php?f=15&p=178#p178"">Song List</a>"	 	https://www.youtube.com/watch?v=ss2XI0cFZZ8	https://drive.google.com/file/d/1xqqZxZwID8MFqOF3J3Wyi3aXLn-UdSNG/view										
modmenu	Mod	Persona 5 Mod Menu	P5	"ShrineFox, TGE, CaptainSwag101"	1/13/2020	"Scripts, QoL"	"A multi-purpose custom menu that gets loaded when you press the Square button. Edit cameras, flags, the calendar, player stats, personas and skills-- as well as view animations, models, fields, events and more."	"<b>Update v1.5 (11/18/2018):</b> <br>Fixes descriptions, adds follower flags & coordinate printing to log, prevents mod menu from being disabled by mass flag editor. Fixes crashes/softlocks with quicktravel."	https://cdn.discordapp.com/attachments/428021649246388224/447597680018063372/unknown.png	https://github.com/ShrineFox/Persona-5-Mod-Menu/releases										
p4au-undub	Mod	P4AU Undub	P4AU	lipsum	1/20/2020	"Player, Voice"	Undubs voices and movies via a fake custom update + patch.yml. README.md should contain everything you need to know on how to install.	 	https://streamable.com/wkzrv	https://mega.nz/#F!KqY3EIaB!oi8xHIHAGlgGYixnsh1E-w										
p5joker	Mod	Joaquin Phoenix Joker	P5	SuperMaster10	1/27/2020	Player	"Replaces the textures of Joker's battle model to make it more similiar to Joaquin Phoenix's portrayal of Joker, currently only replaces that model and nothing else."	 	https://i.imgur.com/KUBWgxm.png	https://www.mediafire.com/file/wujrya7xljlm4iv/Joaquin_Phoenix_Joker.rar/file										
cfb-english	Mod	English Patch (CFB Vita)	CFB	froid_san	2/10/2020	"Text, Translation"	An English port of Catherine:Full Body since Atlus decided not to localize it to the Vita. This is just good old-fashioned transcribing text from numerous videos on YouTube and my own gameplay.<br><b>What's translated:</b><br>All Images that contain text used in menu’s and such<br>Regular Menu/Navigation Text<br>99% of the Cut-scene and FMV<br>90% of the cellphone messages<br>80% of the NPC on the Lounge and Landings (nightmare)<br>All Confessional Questions<br>70% Quotes on loading screen<br><b>What's not translated:</b><br>Most of the Multiplayer mode (PS4 version needs PS+ so can’t see the text there)<br>Arrow labels	 	https://www.youtube.com/watch?v=DZYN91dsI7Q	https://drive.google.com/open?id=1LFXc1C6jocQcaTyhuMvJZS3Ss9ngUfp0										
p3d-usa-mod-cpk	Mod	P3D USA Mod Support	P3D	lipsum	2/23/2020	CPK	Eboots that add intro skip and mod loading functionality to P3D (USA). Rename to eboot.bin and put in your game's rePatch directory.	 	 	https://cdn.discordapp.com/attachments/143149937247387649/679416968708882443/pcse01274.7z										
p5d-usa-mod-cpk	Mod	P5D USA Mod Support	P5D	lipsum	2/23/2020	CPK	Eboots that add intro skip and mod loading functionality to P5D (USA). Rename to eboot.bin and put in your game's rePatch directory.	 	 	https://cdn.discordapp.com/attachments/143149937247387649/679417150959517716/pcse01275.7z										
p5-ryujiinstakill	Mod	Disable Ryuji Instakill	P5	LillianGoulston	2/29/2020	CTD	Removes the Instakill ability from Ryuji's Confidant	 	https://i.imgur.com/ltdOWYS.png	https://cdn.discordapp.com/attachments/410951708274065409/683396495306784834/Disable_Ryuji_Instakill.zip										
p5-p4gfont	Mod	P4G Font for P5	P5	Alan3D	2/29/2020	Font	Replaces P5's main in-game font with P4G's.	 	 	https://cdn.discordapp.com/attachments/410951708274065409/683418498055274541/P4G_Font_for_P5.7z										
p4au-patches	Mod	P4U2 Patches	P4AU	lipsum	2/29/2020		"Included patches:<br>- Intro Skip (JP/US Versions)<br>- Japanese Movies (US Version)<br>- English Subs (JP Version) <br>- Content ""Enabler"" (JP/US Versions)<br>To enable, include these in RPCS3's patch.yml and comment/uncomment the patches you wish to enable/disable under the PPU-<hash> section. <br>You can also apply these patches directly to an eboot.elf file using <a href=""https://github.com/TGEnigma/RPCS3PatchEboot"">RPCS3PatchEboot</a> or <a href=""https://github.com/zarroboogs/heeboot"">heeboot</a>."	 	 	https://gist.github.com/zarroboogs/9113fa98b01079b39934142e3a3281b3										
p4gundub	Mod	P4G Undub	P4G	"ShrineFox, lipsum"	3/4/2020	"Voice, Cutscenes"	For the US version of P4G. Changes: Imported JP sound/PAC files	<b>Update 3/4/2020</b>: Add mod.cpk/cutscenes by lipsum	https://streamable.com/fk7rl	https://drive.google.com/file/d/1W3lJK0xqR20601hi2kJkUpHV2jmdAdeY/view?usp=sharing										
p5-royalopening	Mod	P5 Royal Opening	P5	slasherguy21	3/4/2020	FMV	This swaps out the original persona 5 opening with Persona 5 Royal opening.	 	 	https://www.dropbox.com/s/2xuuim5kmrd38i6/Persona%20Royal%20Opening.zip?dl=0&file_subpath=%2FPersona+Royal+Opening										
p5-scrambleopening	Mod	P5 Scramble Opening	P5	slasherguy21	3/8/2020	FMV	This replaces the Persona 5 opening with Persona 5 Scramble.	 	 	https://drive.google.com/file/d/1ZbNxzLhv3pGLzOBCXEeWch9Lh7Lsap3n/view										
p3fes-moviebgm	Mod	Persona 3 FES Movie BGM Mod	P3FES	slasherguy21	3/11/2020	"BGM, Sound"	"Swaps some the songs for the remixes from the movie.<br>(<a href=""https://shrinefox.com/forum/viewtopic.php?f=11&t=130"">Changelog</a>)"	 	 	https://drive.google.com/file/d/1Tdui2LhalHOvB7WrzLDa3lgdUhAoIxM0/view										
p4-goldenadachitheme	Mod	P4GA Adachi Battle Theme	P4	slasherguy21	3/11/2020	"BGM, Sound"	Swaps Adachi them with the ying yang song from the A1 persona 4 Golden anime.	 	 	https://drive.google.com/file/d/1GTmnV7GbgcgwxAknMtNvrXqdNb0RKKa1/view										
p4-animecutscenes	Mod	Persona 4 Anime Cutscenes	P4	slasherguy21	3/18/2020	FMV	"A Persona 4 cutscenes mod made from episodes of the anime, inspired by Rebirth Cutscenes from Robot_Gerbil. <a href=""https://drive.google.com/file/d/18Y2AMu_bi-Am5o2JkITLDayREScL6bE0/view"">Click here</a> to preview the changes and compare them to the originals in case you only want to swap out specific scenes."	<b>Update 3/18/2020</b>: Added all 20 cutscene replacements	 	https://drive.google.com/file/d/19AiFR--nWVW2ivvJR2U0valzZWXCHNGZ/view										
p4-hostfs	Mod	Persona 4 hostFS Patch	P4	TGE	3/28/2020	"CVM, Debug"	"Replace/Add files to the CVMs without repacking.<br>1. Edit PCSX2_vm.ini inside the PCSX2 ini folder and change the line with 'HostFs=disabled' to 'HostFs=enabled'.<br>2. Extract the SLUS from the ISO and add the .ELF extension to it.<br>3. Place replacement files in a folder named after the CVM, which goes in the same directory as the .ELF.<br>4. Load the game's ISO in PCSX2 (with cheats enabled), and then select ""Run ELF"" from the ""File"" menu."	 	 	https://shrinefox.com/txt/DEDC3B71.pnach.txt										
p3fes-hostfs	Mod	Persona 3 FES hostFS Patch	P3FES	TGE	3/28/2020	"CVM, Debug"	"Replace/Add files to the CVMs without repacking.<br>1. Edit PCSX2_vm.ini inside the PCSX2 ini folder and change the line with 'HostFs=disabled' to 'HostFs=enabled'.<br>2. Extract the SLUS from the ISO and add the .ELF extension to it.<br>3. Place replacement files in a folder named after the CVM, which goes in the same directory as the .ELF.<br>4. Load the game's ISO in PCSX2 (with cheats enabled), and then select ""Run ELF"" from the ""File"" menu."	 	 	https://shrinefox.com/txt/94A82AAA.pnach.txt										
smt3-hostfs	Mod	Nocturne hostFS Patch	SMT3	TGE	3/28/2020	"CVM, Debug"	"Replace/Add files to the dds3.img and MOVIE folder without repacking.<br>1. Edit PCSX2_vm.ini inside the PCSX2 ini folder and change the line with 'HostFs=disabled' to 'HostFs=enabled'.<br>2. Extract the SLUS from the ISO and add the .ELF extension to it.<br>3. Extract contents of dds3.img and MOVIE to a folder named ""dds3data"", which goes in the same directory as the .ELF.<br>4. Load the game's ISO in PCSX2 (with cheats enabled), and then select ""Run ELF"" from the ""File"" menu."	 	 	https://shrinefox.com/txt/E8FCF8EC.pnach.txt										
p5-epicbgmmod	Mod	An EPIC Persona 5 Music Mod	P5	Century_	4/3/2020	BGM	"Takes various songs from the original sountrack from Persona 5 and replaces them with musical pieces from Persona 4, Persona Q, Persona Q2, Persona 3/5 Dancing, Persona 5 Royal and Persona 5 Scramble."	 	 	https://drive.google.com/drive/folders/1OWkrIwCGDazseVa3fc6ulOZTNbxazBKE										
p5-p5rbustups	Mod	P5R Bustup Portrait Backport	P5	"chlorophylls, rexis"	11/29/2020	"Bustup, Port"	"Backports the new and redrawn portraits from P5 Royal to the PS3 version of P5, and adds the ones for new characters such as Kasumi, José, and Maruki, and more. This also adds the bustup portraits for the new winter outfits. This is not compatible with the 4K mod, due to having different resolutions for the bustups."		https://i.imgur.com/I976QcU.png	https://drive.google.com/file/d/1g2f48mg5HMfaMWkGl4KHPeNMRcv3Is-x/view										
p5-xbox-prompts	Mod	Xbox Controller Prompts	P5	LeMalgache	4/23/2020	UI	This is a simple mod that replace all button prompts with their Xbox counterparts.	 	https://i.imgur.com/xbDDk8c.png	https://drive.google.com/file/d/1Lzp90u0wVC_NqfxdFKspgcAn2b5C4wRu/view										
p3-okami	Mod	Persona 3 Okami	P3FES	CrazyGM	4/27/2020	"Player, BGM, UI, Voice"	"Yu appears in 90% of the cutcenes, Izanagi-no-Okami, Izanagi, Magatsu Izanagi and Yoshitsune added to the game, 14 P4 OST tracks added, menu/UI changes, Myriad Truths added (replaces Morning Star)"	 	https://www.youtube.com/watch?v=Y-G7Cb3dhng	https://drive.google.com/uc?id=1gtSayPi9QwZr69uqpy5c-MS1XwOAV_PD&export=download										
p3p-p1post	Mod	P3P with P1 Portable OST	P3P	kesnos	5/1/2020	BGM	A mod for Persona 3 Portable that changes the music to the one from the psp version of Persona 1.	 	 	https://drive.google.com/file/d/1jglPpv6C0IzvE0BM0j5fXq8KilTUOWnO/view										
p5-ammo-refill	Mod	P5R Afterbattle Ammo Refill Mod	P5	chlorophylls	5/7/2020	Script	"This mod makes it so that your ammo automatically replenishes after every battle, just like how it works in P5R."	 	https://www.youtube.com/watch?v=ZDiwIyRHXqk	https://drive.google.com/file/d/19B8of3PxhaWZ3pUX109Mt7_10O1240UI/view										
p4g-p3protag	Mod	P3 Protagonist	P4G	mylifesalie	5/7/2020	"Player, Voice"	"This mod replaces the Protagonist's Gekkuokan outfit with P3P's Male Protagonist in his SEES Outfit with voice replacements, fixed animations, and effects.<br>Known issue: -The critical attack animation is too long and needs to be readjusted."	 	https://i.imgur.com/jfCRQxG.png	http://www.mediafire.com/file/xx9sc5vedo9yt5m/P4G_P3P_MC_mod.zip/file										
p5-p5rfont	Mod	P5R/P5D Font	P5	DniweTamp	5/11/2020	"Font, Port"	I've ported the font from P5D (which is exactly the same in P5R) to P5. Big thanks to Pan-Hime on Twitter for giving me this font so I can use it.	<b>Update 5/11/2020</b>: Fixed buggy languages and edited spacing a bit	https://media.discordapp.net/attachments/365945072107257857/701217102933131295/Screenshot_60.png?width=845&height=475	https://cdn.discordapp.com/attachments/383343424625180675/706844647741194240/P5R_P5D_Font.zip										
p3d-rohan-koichi	Mod	Rohan and Koichi Costumes	P3D	80constant	5/15/2020	Skin	Heres my first released Persona mod. This replaces outfits for Junpei and Ken in Persona 3: Dancing in Moonlight to add costumes of Rohan Kishibe and Koichi Hirose from Jojo's Bizarre Adventure: Diamond is Unbreakable.	 	https://www.youtube.com/watch?v=1si-v8kg6Xg	https://drive.google.com/open?id=1WMtCVP9W_BOjRO_y1coGtgXNS9Cayzgf										
p4-p4gp5rfonts	Mod	P4G/P5R Fonts	P4	DniweTamp	5/17/2020	"Font, Port"	Backported from P4G and P5D	 	https://cdn.discordapp.com/attachments/364029454269415424/711596464534716482/unknown.png	https://cdn.discordapp.com/attachments/383343424625180675/711597594136150036/P4G_Font.7z										
p5-4k-upscale	Mod	Full 4k UI Upscale	P5	rexis	5/19/2020	"UI, Bustup"	This mod replaces P5's UI textures with higher resolution versions and also disables certain shaders that cause some extra blurriness. New textures are 3 to 5 times higher res (9x-25x pixel count) than the ones found in the ps3 version. Works only with RPCS3. More info inside.	<b>Update 5/19/2020</b>: Updated to 1.2.1	https://i.imgur.com/GjX9ezH.gif	https://mega.nz/file/EPwFWZDb#tMPcaKevE1Z6QCCIESNL5z24fidwS_ZHB8J4MxBRdh8										
p5-p5rkaleidoscope	Mod	P5R Styled Kaleidoscope	P5	DniweTamp	5/23/2020	UI	"The actual P5R kaleidoscope can't be backported because it works too differently there compared to vanilla, so I made a P5R Styled kaleidoscope traced from screenshots."	 	https://cdn.discordapp.com/attachments/353506385213784065/713820049097359430/unknown.png	https://cdn.discordapp.com/attachments/383343424625180675/713821502100865144/P5R_Styled_Kaleidoscope.7z										
p5-trueloki	Mod	True Loki Mod	P5	ReLyf	5/25/2020	Persona	Replaces Loki with Prince Akechi	 	https://www.youtube.com/watch?v=znacjWyBwIw	https://cdn.discordapp.com/attachments/714673250205958286/714673568574734336/True_Loki_0219.rar										
p5-alice-sae	Mod	Alice but its Sae Niijima	P5	ReLyf	5/25/2020	Persona	Replaces Alice with Shadow Sae	 	https://www.youtube.com/watch?v=OkDaH9MTQkQ	https://cdn.discordapp.com/attachments/714673250205958286/714888047191261194/Alice3.rar										
p5-redjoker	Mod	Red Joker	P5	ReLyf	5/27/2020	Player	Replaces the summer outfits with the title screen model	 	https://media.discordapp.net/attachments/353506385213784065/715280802455355462/screenshot-2020_05_28_03_02_22.png?width=827&height=465	https://cdn.discordapp.com/attachments/714673250205958286/715290194064179290/Red_Akira.rar										
p5-haruvan	Mod	T-Posing Haru Replaces Morgana Van	P5	ReLyf	5/30/2020	Party	"Ever wonder ""why does atlus gave floof ball so little screentime?"" ""I wish haru have more screentime"" Well now she does! With this mod she get all the screen time she maybe and probably deserves! This replaces carmona with haru T-POSING yes you read that right."	 	https://www.youtube.com/watch?v=FJDj1w3S-xs	https://cdn.discordapp.com/attachments/714673250205958286/716422969295110185/Haru_Screentime.rar										
p5-protagpersonas	Mod	"P3, P4, P5 Protagonists as Personas"	P5	ReLyf	5/31/2020	Persona	Izanagi - Yu Narukami <br>Orpheus - Minato Arisato<br> Izanagi Picaro - Akira Kurusu	 	https://www.youtube.com/watch?v=3oaMYiQl02Y	https://cdn.discordapp.com/attachments/714673250205958286/716821202424823808/3Protag.rar										
p5-bunnyshihoann	Mod	Bunny Shiho over Ann Catherine Outfit	P5	ReLyf	5/31/2020	Party	"Known bugs: Normal Ann Face will bugs out outside of battle because Atlus only use 1 Field animation for all outfit instead of each animation for each outfit (if you want this to be normal again just delete the folder named ""field"" inside the mod folder, But this will break bunny shiho face outside battle, so choose your poison)"	 	https://www.youtube.com/watch?v=zTnmjNv5P0U	https://cdn.discordapp.com/attachments/714673250205958286/716713593286033428/3.1Bunny_Shiho.rar										
p5-hqp5rop	Mod	P5R Opening HQ	P5	xDBFTGohanX	6/3/2020	FMV	"This mod replaces P5's original opening with P5R's.<br> I converted P5R's opening to 720p, in the best quality possible. (Probably) <br>If i get it to look any better I'll just update it here.<br><br>Overall bitrate - 12.6 Mbps<br> Framerate - 30 FPS"	 	 	https://drive.google.com/file/d/1ASUdSkzbSw9dUVVPIcP-fsmAOvy8-vXY/view										
p5-picklerick	Mod	Pickle Rick?!	P5	Rieri	6/3/2020	Persona	"Ever wonder ""Pickle Rick persona when?!"" <br>Well. The answer is ""Now.""<br><br>Pickle Rick replaces Agathion's model. So, it also replaces shadow Agathion's model to Pickle Rick."	 	https://www.youtube.com/watch?v=KglzM8j9J-s	https://cdn.discordapp.com/attachments/353506385213784065/717576462617673738/Pickle_rick.7z										
p5-p5rdlgsel	Mod	Dialogue Select Box	P5	DniweTamp	6/4/2020	UI	Replaces the dialog selection image of Joker. Doesn't include blinking animation	 	https://media.discordapp.net/attachments/353506385213784065/710441230236123166/unknown.png	https://cdn.discordapp.com/attachments/353506385213784065/710450348489441330/P5S_Joker_Dialogue_select_box.7z										
p5-yup5r	Mod	P5R Yu Model Backport	P5	DniweTamp	6/4/2020	"Player, Port"	"P5R's Yu Narukami ported to P5, replaces Yasogami High outfit. Also replaces Paradise Lost with Yu's Katana. Has custom glasses material (from Joker's glasses)."	 	https://media.discordapp.net/attachments/272875751773306881/716089841984471050/unknown-104.png	https://cdn.discordapp.com/attachments/383343424625180675/719066812066693140/P5R_Narukami_without_glasses.7z										
p5-pq2p5d-costumes	Mod	P5D and Q2 costumes for battle	P5	DniweTamp	6/6/2020	"Player, Party, BGM"	"Q2 outfits replace SMT IF costumes (""Karukozaka High"") ,<br>P5D outfits replace P4D DLC costumes (""Dancewear""). Music is not changed."	<b>Update 6/6/2020</b>: Now includes BGM from P5R	https://cdn.discordapp.com/attachments/432243967917293580/702218967745298582/unknown.png	https://drive.google.com/file/d/1k2eWDGfp11fq_z9-Pog3UgQgFTtV-5Jv/view										
p5-p5ricons	Mod	P5R Icons	P5	OneGuy	6/7/2020	UI	Ever wanted persona 5 royal icons knowing that only almighty skills icon changes? Well here's your mod.	 	https://cdn.discordapp.com/attachments/713128546062696500/719271561982509147/rpcs3_mod_2020-06-07_14-19-42.png	https://drive.google.com/drive/folders/1mZLk-7PIKtkHkV4lWK0PopHa9jDoxe6Q										
p5-twinkechi	Mod	Twinkechi	P5	ReLyf	6/7/2020	"Table, Script, Encounter"	This mod replaces The Twin Fight Challenge with not 1 but 2 Akechi. Known issue: Not compatible with PS3 (still dont know why)	 	https://media.discordapp.net/attachments/353506385213784065/718149871621898291/screenshot-2020_06_04_22_44_59.png?width=827&height=465	https://cdn.discordapp.com/attachments/714673250205958286/718113142248439808/Twinkechi2.1.rar										
p5-3rdsemesteroutfits	Mod	3rd Semester Outfits	P5	DniweTamp	6/8/2020	"Player, Party"	"This mod replaces everyone's real world winter uniforms and casual outfits to those you can see in P5R's 3rd semester. This mod also includes P5R Protagonist's walking, running and other animations"	 	https://cdn.discordapp.com/attachments/383343424625180675/719678430735761459/Screenshot_33.png	https://cdn.discordapp.com/attachments/383343424625180675/719900422453592094/3rd_semester_outfits.7z										
p4g-pc-fmvs	Mod	Slightly Enhanced FMV Mod	P4G	pelvisbass	6/17/2020	FMV	The goal of this mod is to make the FMV videos look slightly better however there is only so much that can be done in its current state. For some reason I will never understand atlus decided to encode the FMVs in game with the WMV2 Codec rather than the much more modern AVC codec used for the psvita version of the game. This results in some really bad compression and blocking which in some cases can be distracting. So I decided to use vapoursynth to try my best to fix it up. The results are not perfect as there is a small amount of detail loss and blockiness however in my opinion the results are much better than the originals. If you are interested in it I left the script I used for vapoursytnh as well as my ffmpeg settings in the readme.	 	https://i.slow.pics/PVByenB7.png	https://drive.google.com/file/d/1PCTo-RivdmDzRSn8R1gpfBIseR3m400a/view										
p4g-jptitle	Mod	Japanese Titlescreen Mod	P4G	CrazyGM	6/18/2020	Title	"I decided to make a mod that replaces the title screen of the P4G for the Japanese version, since the western version is a bit strange, with translation errors and effects that were not well adapted"	 	https://i.imgur.com/CsKWmC9.png	https://drive.google.com/file/d/1dacREtv7fK8YsGmGkzMVwywCS72DP4Jl/view										
p4g-marie	Mod	Marie Party Member	P4G	CrazyGM	6/18/2020	Party	"I made this mod just for testing, so I didn't put a lot of effort into it, but she is still fun to play, so I decided to post it here."	 	https://www.youtube.com/watch?v=ILBeXEAFMMU	https://drive.google.com/file/d/1OmPawuZnuvSKIzY_BY4aj6hfkWtdh3kS/view										
p5-yoshizawa-over-haru	Mod	Yoshizawa Over Haru	P5	DniweTamp	4/3/2021	"UI, Party"	"A mod that fully replaces Haru with Kasumi, including GUI stuff and every single model. Please read the readme.txt before building mod.cpk"	<b>Update 4/3/2021</b>: Fixed long hair (i.e. Deep Blue Dress) models having issues with hair being broken after all out attack finisher<br>Fixed metaverse models disappearing even if your camera is moderately close to it	https://www.youtube.com/watch?v=qi-JyGup2hI	https://gamebanana.com/dl/508940										
